order_id,order_date,customer_id,product_id,warehouse_id,supplier_id,category,quantity,unit_price,unit_cost,promised_date,delivery_date,stock_units,defect_rate,transport_cost
O0001,2026-01-01,C101,P101,W01,S01,Electronics,8,1500,1050.0,2026-01-06,2026-01-07,120,1.2,68
O0002,2026-01-02,C102,P102,W02,S02,Home,11,700,420.0,2026-01-07,2026-01-07,50,4.8,86
O0003,2026-01-03,C103,P103,W03,S03,Office,14,350,192.5,2026-01-08,2026-01-11,0,2.1,104
O0004,2026-01-04,C104,P104,W01,S04,Apparel,17,900,522.0,2026-01-09,2026-01-14,300,3.7,122
O0005,2026-01-05,C105,P105,W02,S05,Industrial,20,4500,3285.0,2026-01-10,2026-01-10,40,0.8,140
O0006,2026-01-06,C106,P106,W03,S01,Electronics,23,1500,1050.0,2026-01-11,2026-01-13,120,1.2,158
O0007,2026-01-07,C107,P107,W01,S02,Home,26,700,420.0,2026-01-12,2026-01-12,50,4.8,50
O0008,2026-01-08,C108,P108,W02,S03,Office,29,350,192.5,2026-01-13,2026-01-20,0,2.1,68
O0009,2026-01-09,C109,P109,W03,S04,Apparel,32,900,522.0,2026-01-14,2026-01-15,300,3.7,86
O0010,2026-01-10,C110,P110,W01,S05,Industrial,35,4500,3285.0,2026-01-15,2026-01-15,40,0.8,104
O0011,2026-02-01,C111,P111,W02,S01,Electronics,38,1500,1050.0,2026-02-06,2026-02-07,120,1.2,122
O0012,2026-02-02,C100,P112,W03,S02,Home,6,700,420.0,2026-02-07,2026-02-07,50,4.8,140
O0013,2026-02-03,C101,P113,W01,S03,Office,9,350,192.5,2026-02-08,2026-02-11,0,2.1,158
O0014,2026-02-04,C102,P114,W02,S04,Apparel,12,900,522.0,2026-02-09,2026-02-14,300,3.7,50
O0015,2026-02-05,C103,P115,W03,S05,Industrial,15,4500,3285.0,2026-02-10,2026-02-10,40,0.8,68
O0016,2026-02-06,C104,P116,W01,S01,Electronics,18,1500,1050.0,2026-02-11,2026-02-13,120,1.2,86
O0017,2026-02-07,C105,P117,W02,S02,Home,21,700,420.0,2026-02-12,2026-02-12,50,4.8,104
O0018,2026-02-08,C106,P118,W03,S03,Office,24,350,192.5,2026-02-13,2026-02-20,0,2.1,122
O0019,2026-02-09,C107,P119,W01,S04,Apparel,27,900,522.0,2026-02-14,2026-02-15,300,3.7,140
O0020,2026-02-10,C108,P100,W02,S05,Industrial,30,4500,3285.0,2026-02-15,2026-02-15,40,0.8,158
O0021,2026-03-01,C109,P101,W03,S01,Electronics,33,1500,1050.0,2026-03-06,2026-03-07,120,1.2,50
O0022,2026-03-02,C110,P102,W01,S02,Home,36,700,420.0,2026-03-07,2026-03-07,50,4.8,68
O0023,2026-03-03,C111,P103,W02,S03,Office,39,350,192.5,2026-03-08,2026-03-11,0,2.1,86
O0024,2026-03-04,C100,P104,W03,S04,Apparel,7,900,522.0,2026-03-09,2026-03-14,300,3.7,104
O0025,2026-03-05,C101,P105,W01,S05,Industrial,10,4500,3285.0,2026-03-10,2026-03-10,40,0.8,122
O0026,2026-03-06,C102,P106,W02,S01,Electronics,13,1500,1050.0,2026-03-11,2026-03-13,120,1.2,140
O0027,2026-03-07,C103,P107,W03,S02,Home,16,700,420.0,2026-03-12,2026-03-12,50,4.8,158
O0028,2026-03-08,C104,P108,W01,S03,Office,19,350,192.5,2026-03-13,2026-03-20,0,2.1,50
O0029,2026-03-09,C105,P109,W02,S04,Apparel,22,900,522.0,2026-03-14,2026-03-15,300,3.7,68
O0030,2026-03-10,C106,P110,W03,S05,Industrial,25,4500,3285.0,2026-03-15,2026-03-15,40,0.8,86
O0031,2026-04-01,C107,P111,W01,S01,Electronics,28,1500,1050.0,2026-04-06,2026-04-07,120,1.2,104
O0032,2026-04-02,C108,P112,W02,S02,Home,31,700,420.0,2026-04-07,2026-04-07,50,4.8,122
O0033,2026-04-03,C109,P113,W03,S03,Office,34,350,192.5,2026-04-08,2026-04-11,0,2.1,140
O0034,2026-04-04,C110,P114,W01,S04,Apparel,37,900,522.0,2026-04-09,2026-04-14,300,3.7,158
O0035,2026-04-05,C111,P115,W02,S05,Industrial,5,4500,3285.0,2026-04-10,2026-04-10,40,0.8,50
O0036,2026-04-06,C100,P116,W03,S01,Electronics,8,1500,1050.0,2026-04-11,2026-04-13,120,1.2,68
O0037,2026-04-07,C101,P117,W01,S02,Home,11,700,420.0,2026-04-12,2026-04-12,50,4.8,86
O0038,2026-04-08,C102,P118,W02,S03,Office,14,350,192.5,2026-04-13,2026-04-20,0,2.1,104
O0039,2026-04-09,C103,P119,W03,S04,Apparel,17,900,522.0,2026-04-14,2026-04-15,300,3.7,122
O0040,2026-04-10,C104,P100,W01,S05,Industrial,20,4500,3285.0,2026-04-15,2026-04-15,40,0.8,140
O0041,2026-05-01,C105,P101,W02,S01,Electronics,23,1500,1050.0,2026-05-06,2026-05-07,120,1.2,158
O0042,2026-05-02,C106,P102,W03,S02,Home,26,700,420.0,2026-05-07,2026-05-07,50,4.8,50
O0043,2026-05-03,C107,P103,W01,S03,Office,29,350,192.5,2026-05-08,2026-05-11,0,2.1,68
O0044,2026-05-04,C108,P104,W02,S04,Apparel,32,900,522.0,2026-05-09,2026-05-14,300,3.7,86
O0045,2026-05-05,C109,P105,W03,S05,Industrial,35,4500,3285.0,2026-05-10,2026-05-10,40,0.8,104
O0046,2026-05-06,C110,P106,W01,S01,Electronics,38,1500,1050.0,2026-05-11,2026-05-13,120,1.2,122
O0047,2026-05-07,C111,P107,W02,S02,Home,6,700,420.0,2026-05-12,2026-05-12,50,4.8,140
O0048,2026-05-08,C100,P108,W03,S03,Office,9,350,192.5,2026-05-13,2026-05-20,0,2.1,158
O0049,2026-05-09,C101,P109,W01,S04,Apparel,12,900,522.0,2026-05-14,2026-05-15,300,3.7,50
O0050,2026-05-10,C102,P110,W02,S05,Industrial,15,4500,3285.0,2026-05-15,2026-05-15,40,0.8,68
O0051,2026-06-01,C103,P111,W03,S01,Electronics,18,1500,1050.0,2026-06-06,2026-06-07,120,1.2,86
O0052,2026-06-02,C104,P112,W01,S02,Home,21,700,420.0,2026-06-07,2026-06-07,50,4.8,104
O0053,2026-06-03,C105,P113,W02,S03,Office,24,350,192.5,2026-06-08,2026-06-11,0,2.1,122
O0054,2026-06-04,C106,P114,W03,S04,Apparel,27,900,522.0,2026-06-09,2026-06-14,300,3.7,140
O0055,2026-06-05,C107,P115,W01,S05,Industrial,30,4500,3285.0,2026-06-10,2026-06-10,40,0.8,158
O0056,2026-06-06,C108,P116,W02,S01,Electronics,33,1500,1050.0,2026-06-11,2026-06-13,120,1.2,50
O0057,2026-06-07,C109,P117,W03,S02,Home,36,700,420.0,2026-06-12,2026-06-12,50,4.8,68
O0058,2026-06-08,C110,P118,W01,S03,Office,39,350,192.5,2026-06-13,2026-06-20,0,2.1,86
O0059,2026-06-09,C111,P119,W02,S04,Apparel,7,900,522.0,2026-06-14,2026-06-15,300,3.7,104
O0060,2026-06-10,C100,P100,W03,S05,Industrial,10,4500,3285.0,2026-06-15,2026-06-15,40,0.8,122
